Puntuaje,Tipo de Pago,Título comentario,Cuerpo comentario,Cuotas de pago,Valor del pago,Categoría producto,Peso producto (g),Largo producto (cm),Ancho producto (cm),Alto producto (cm),Ciudad cliente,Estado orden,Precio envío,ID vendedor,Secuencia de pago,Tiempo compra pedido,Fecha de cargo,Fecha de entrega prevista,Fecha estimada de entrega,Creación comentario,Lapso tiempo respuesta,Ciudad vendedor,Estado vendedor,Estado cliente,Fecha límite de envío
1,credit_card,,Meu produto foi entregue incompleto. eu comprei dois shampoos e só recebi um.,2,155.14,health_beauty,431.0,19.0,15.0,17.0,sete lagoas,delivered,17.67,620c87c171fb2a6dd6e8bb4dec959fc6,1,2017-11-24 10:51:42,2017-11-24 20:36:55,2017-12-06 16:02:42,2017-12-19 00:00:00,2017-12-07 00:00:00,2017-12-07 12:33:09,petropolis,RJ,MG,2017-11-30 12:31:32
1,credit_card,Não recebimento ,"Comprei 6 memórias, só recebi 5.",8,415.44,consoles_games,157.0,17.0,13.0,8.0,curitiba,delivered,18.24,17e34d8224d27a541263c4c64b11a56b,1,2018-05-04 15:38:57,2018-05-08 15:46:00,2018-05-14 15:54:50,2018-06-04 00:00:00,2018-05-15 00:00:00,2018-05-21 11:30:09,riberao preto,SP,PR,2018-05-10 15:55:22
2,voucher,Ruim ,Não recebi o produto na data prevista e nem consigo rastrear ,1,300.0,baby,15800.0,38.0,57.0,62.0,natal,delivered,38.71,5dceca129747e92ff8ef7a997dc4f8ca,2,2018-03-26 17:56:18,2018-04-03 18:59:10,2018-05-10 15:23:30,2018-04-23 00:00:00,2018-04-27 00:00:00,2018-04-27 12:58:02,santa barbara d´oeste,SP,RN,2018-04-03 17:35:11
5,credit_card,,"recomendo, produto excelente e lindo.
",1,12.82,bed_bath_table,600.0,50.0,40.0,5.0,votorantim,delivered,12.05,4a3ca9315b744ce9f8e9374361493884,1,2017-09-12 11:14:11,2017-09-15 21:13:36,2017-09-21 20:03:25,2017-09-28 00:00:00,2017-09-22 00:00:00,2017-09-25 17:11:16,ibitinga,SP,SP,2017-09-18 11:30:31
1,credit_card,,parece bom ainda não usei.,5,158.42,kitchen_dining_laundry_garden_furniture,9200.0,31.0,31.0,31.0,agua boa,delivered,31.21,07bf9669d84d1f11be443a9dd938f698,1,2018-06-19 14:59:31,2018-06-21 13:42:00,2018-07-10 17:21:38,2018-07-24 00:00:00,2018-07-11 00:00:00,2018-07-12 14:24:03,sao paulo,SP,MT,2018-06-26 14:59:12
1,credit_card,,"estou aguardando um retorno da loja, comprei o kit com duas peças.
Recebi somente uma peça.",10,178.98,bed_bath_table,900.0,50.0,11.0,11.0,sao paulo,delivered,10.0,6fd52c528dcb38be2eea044946b811f8,1,2018-02-08 18:36:30,2018-03-02 22:58:48,2018-03-05 12:56:32,2018-03-08 00:00:00,2018-03-06 00:00:00,2018-03-06 17:24:09,sao paulo,SP,SP,2018-02-26 17:50:50
1,credit_card,,"A entrega foi efetuada, porém veio faltando o item "" kit 2 pinças""",2,224.97,perfumery,250.0,16.0,11.0,18.0,rio das ostras,delivered,22.04,aded58c8142dedc5494a81f948431fab,1,2018-04-01 19:44:52,2018-04-02 18:58:40,2018-04-06 20:38:25,2018-04-26 00:00:00,2018-04-07 00:00:00,2018-04-08 00:21:32,rio de janeiro,RJ,RJ,2018-04-05 20:30:16
5,credit_card,,Recomendo a loja. Entregou dentro do prazo combinado. ,2,238.02,sports_leisure,9450.0,85.0,33.0,10.0,assis,delivered,28.02,955fee9216a65b617aa5c0531780ce60,1,2018-02-14 23:55:07,2018-02-16 00:09:35,2018-02-21 20:18:00,2018-03-07 00:00:00,2018-02-22 00:00:00,2018-02-23 02:09:09,sao paulo,SP,SP,2018-02-20 23:27:52
2,credit_card,,Estou aguardando instalação do produto em loja especializada.,3,158.72,auto,2800.0,40.0,40.0,16.0,curitiba,delivered,18.73,c273175f7c6c80fb02f051e2fc6d0d72,1,2017-01-25 16:25:03,2017-01-27 11:50:53,2017-02-02 17:07:20,2017-02-22 00:00:00,2017-02-04 00:00:00,2017-02-06 15:52:04,sao paulo,SP,PR,2017-01-29 16:25:03
5,credit_card,,"Muito feliz com minha compra. O pedido chegou 
em 2 dias. Recomendo",2,131.95,perfumery,560.0,19.0,17.0,13.0,varginha,delivered,13.95,289cdb325fb7e7f891c38608bf9e0962,1,2018-05-13 20:06:00,2018-05-14 15:16:00,2018-05-15 18:48:10,2018-06-01 00:00:00,2018-05-16 00:00:00,2018-05-16 22:25:19,belo horizonte,SP,MG,2018-05-17 20:30:40
5,voucher,,Ótimo vendedor!,1,1.05,telephony,150.0,19.0,15.0,15.0,posse,delivered,15.1,cc419e0650a3c5ba77189a1882b7556a,3,2017-08-25 14:16:33,2017-08-29 15:54:07,2017-09-05 15:54:01,2017-09-27 00:00:00,2017-09-06 00:00:00,2017-09-07 01:51:46,santo andre,SP,GO,2017-09-04 15:45:38
3,credit_card,,O número da pantufa é menor do que a numeração de sapatos normais.,2,50.0,fashion_shoes,400.0,29.0,16.0,7.0,sao paulo,delivered,14.1,827f8f69dfa529c561901c4f2e0f332f,1,2017-06-27 11:38:25,2017-07-10 19:46:37,2017-07-17 16:40:02,2017-07-19 00:00:00,2017-07-18 00:00:00,2017-07-19 02:21:24,curitiba,PR,SP,2017-07-03 12:25:27
1,credit_card,Me mandaram outro produto,Comprei o produto de uma cor e me enviaram de outra cor.,1,47.53,telephony,100.0,19.0,20.0,3.0,cotia,delivered,7.54,2138ccb85b11a4ec1e37afbd1c8eda1f,1,2018-07-29 20:56:13,2018-07-30 14:53:00,2018-07-31 20:38:40,2018-08-06 00:00:00,2018-08-01 00:00:00,2018-08-02 00:39:44,sao paulo,SP,SP,2018-08-01 21:10:20
1,credit_card,Problema,"Infelizmente tive um problema com o aparelho,e o mesmo terá que ser feito troca.",7,385.16,auto,717.0,24.0,21.0,14.0,lencois paulista,delivered,16.16,c12b92bf1c350f3e6bf88d3596219c86,1,2018-06-21 19:04:30,2018-06-22 14:41:00,2018-06-25 15:56:52,2018-07-18 00:00:00,2018-06-26 00:00:00,2018-06-26 19:31:00,garca,SP,SP,2018-06-27 19:21:35
5,credit_card,,Entrega 1 semana antes da data prevista,7,74.41,auto,4200.0,78.0,47.0,4.0,barueri,delivered,14.51,7142540dd4c91e2237acb7e911c4eba2,1,2018-03-22 08:24:38,2018-03-22 21:28:52,2018-03-27 02:26:49,2018-04-10 00:00:00,2018-03-27 00:00:00,2018-03-29 22:02:26,penapolis,SP,SP,2018-03-28 08:35:34
5,credit_card,,Muito bom o atendimento. Extremamente célere e cômodo. Recomendo esse vendedor.,1,53.7,computers_accessories,150.0,31.0,11.0,8.0,brasilia,delivered,7.71,bd0389da23d89b726abf911cccc54596,1,2018-04-07 15:37:07,2018-04-09 19:41:28,2018-04-10 21:06:51,2018-04-23 00:00:00,2018-04-11 00:00:00,2018-04-14 01:18:48,brasilia,DF,DF,2018-04-12 15:50:17
1,boleto,ruim,"muita demora para entregar, um produto tão pequeno.",1,163.92,cool_stuff,125.0,16.0,12.0,12.0,antonio prado de minas,delivered,15.92,e9bc59e7b60fc3063eb2290deda4cced,1,2018-04-26 10:24:58,2018-05-04 15:54:00,2018-05-18 19:48:58,2018-06-04 00:00:00,2018-05-19 00:00:00,2018-05-21 11:55:11,maringa,PR,MG,2018-05-04 02:51:35
5,credit_card,,"Não recomendo, porque comprei um marron, e passou do prazo e não chegou.
Esse chegou mais o outro é da mesma loja e não chegou.
O prazo era até sexta.
Agora vou aguardar chega o outro.",1,141.33,bed_bath_table,2350.0,20.0,30.0,30.0,sumare,delivered,21.33,54965bbe3e4f07ae045b90b0b8541f52,1,2017-11-23 14:40:52,2017-11-29 22:48:24,2017-12-08 18:48:47,2017-12-19 00:00:00,2017-12-09 00:00:00,2017-12-11 21:47:31,foz do iguacu,PR,SP,2017-11-29 14:49:12
5,credit_card,,Sempre comprei e nunca tive nenhum problema,1,163.04,toys,400.0,16.0,22.0,18.0,miracema,delivered,13.05,46dc3b2cc0980fb8ec44634e21d2718e,1,2017-10-09 20:20:55,2017-10-19 15:52:17,2017-10-20 16:33:40,2017-10-26 00:00:00,2017-10-21 00:00:00,2017-10-23 12:50:06,rio de janeiro,RJ,RJ,2017-10-16 21:35:31
1,credit_card,,Acho que vcs tinha que manda o que ta no anunçio .,1,25.51,fixed_telephony,100.0,16.0,13.0,5.0,rio paranaiba,delivered,14.52,b76dba6c951ab00dc4edf0a1aa88037e,1,2017-02-01 10:13:10,2017-02-01 11:01:41,2017-02-13 08:01:18,2017-03-10 00:00:00,2017-02-14 00:00:00,2017-02-15 10:19:21,sao paulo,SP,MG,2017-02-05 10:13:10
5,credit_card,Perfeito ,Estou muito satisfeito obrigado. ,2,26.29,telephony,150.0,18.0,11.0,6.0,sao paulo,delivered,7.39,7d76b645482be4a332374e8223836592,1,2018-08-13 06:52:04,2018-08-14 12:30:00,2018-08-15 16:38:34,2018-08-22 00:00:00,2018-08-16 00:00:00,2018-08-16 22:02:57,sao paulo,SP,SP,2018-08-21 07:04:20
5,boleto,,"Confio no trabalho das lannister,",1,235.74,garden_tools,2300.0,23.0,19.0,22.0,sao paulo,delivered,16.74,eeb6de78f79159600292e314a77cbd18,1,2017-04-07 15:47:19,2017-04-11 09:21:25,2017-04-17 11:28:07,2017-05-17 00:00:00,2017-04-18 00:00:00,2017-04-19 19:21:59,lages,SC,SP,2017-05-03 03:55:32
4,credit_card,,os pés poderiam ser melhor acabados,2,129.24,kitchen_dining_laundry_garden_furniture,6450.0,48.0,48.0,18.0,cachoeira do sul,delivered,19.62,13074f016982ff2bd6c58ced8682f000,1,2017-11-10 21:26:02,2017-11-17 19:26:48,2017-11-20 20:48:33,2017-11-30 00:00:00,2017-11-21 00:00:00,2017-11-22 18:46:12,bento goncalves,RS,RS,2017-11-17 21:35:34
3,credit_card,,Podia ser utilizado apenas uma embalagem ,1,57.21,auto,480.0,18.0,14.0,8.0,sao paulo,delivered,8.72,b4ffb71f0cb1b1c3d63fad021ecf93e1,1,2017-08-14 08:24:18,2017-08-14 19:19:57,2017-08-15 17:23:18,2017-08-29 00:00:00,2017-08-16 00:00:00,2017-08-17 11:05:39,sao paulo,SP,SP,2017-08-22 08:35:19
1,credit_card,Duvidoso ,"Comprei 2 combos , com 12 unidades , num total de 24 caixas. Efetuei o pagamento de 633,00 à vista. Compreendi que devido à greve , ocorressem atrasos, mas infelizmente chegou um combo com 11 caixas.",1,632.74,health_beauty,360.0,23.0,21.0,20.0,ourinhos,delivered,15.47,e9779976487b77c6d4ac45f75ec7afe9,1,2018-05-20 16:07:46,2018-05-21 15:10:00,2018-05-30 18:51:34,2018-06-08 00:00:00,2018-05-31 00:00:00,2018-06-02 23:24:52,praia grande,SP,SP,2018-05-28 08:17:38
5,credit_card,Super recomendado.,"Excelente, do pedido até a entrega. Parabéns.",5,52.13,pet_shop,100.0,16.0,11.0,16.0,rio de janeiro,delivered,22.14,661ad5fcc28cdfb8bcadb12bb2272475,1,2018-07-17 17:28:51,2018-07-18 11:40:00,2018-07-30 21:51:22,2018-08-20 00:00:00,2018-07-31 00:00:00,2018-08-03 09:54:23,balneario camboriu,SC,RJ,2018-07-23 17:45:09
5,voucher,Otimo,"Entrega rápida, produto de qualidade!",1,100.0,housewares,9100.0,39.0,39.0,39.0,toledo,delivered,61.04,5c030029b5916fed0986310385ec9009,2,2018-06-23 18:20:02,2018-06-25 14:22:00,2018-06-28 23:02:34,2018-07-23 00:00:00,2018-06-29 00:00:00,2018-07-02 14:15:16,sao jose,SC,PR,2018-06-28 18:30:30
5,debit_card,,Produto excelente como eu esperava. ,1,258.56,signaling_and_security,1900.0,30.0,21.0,21.0,itape,delivered,28.56,8c9348f33ae3dada25c99c99ade2af78,1,2018-07-26 20:18:26,2018-07-30 14:44:00,2018-08-08 20:06:36,2018-08-20 00:00:00,2018-08-09 00:00:00,2018-08-13 12:07:07,carapicuiba,SP,BA,2018-08-02 08:24:21
1,boleto,,Bom o produto é bom mas eu comprei 5 radinho e só veio 3 ,1,696.15,fixed_telephony,500.0,16.0,15.0,10.0,taiuva,delivered,14.23,18a349e75d307f4b4cc646a691ed4216,1,2018-05-21 13:16:36,2018-05-22 12:23:00,2018-05-28 16:38:45,2018-06-13 00:00:00,2018-05-29 00:00:00,2018-06-03 20:57:37,sao paulo,SP,SP,2018-05-31 09:30:45
5,credit_card,Super satisfeita ,"Adorei, era do tamanho que precisava.",1,65.4,bed_bath_table,200.0,16.0,16.0,16.0,dracena,delivered,12.8,1900267e848ceeba8fa32d80c1a5f5a8,1,2018-07-25 13:02:52,2018-07-26 13:16:00,2018-07-30 20:49:38,2018-08-08 00:00:00,2018-07-31 00:00:00,2018-08-01 01:01:07,ibitinga,SP,SP,2018-07-27 13:10:18
4,credit_card,,"Positivo: Ótimo produto. Muito bem embalado.
Superou as expectativas.
Negativo: produto chegou entregue dentro do prazo, porém houve algumas ocorrências que o fizeram atrasar alguns dias.",4,40.16,telephony,275.0,18.0,12.0,4.0,seringueiras,delivered,34.15,ea8482cd71df3c1969d7b9473ff13abc,1,2017-08-21 21:09:21,2017-08-24 19:33:37,2017-09-15 20:57:39,2017-09-25 00:00:00,2017-09-16 00:00:00,2017-09-18 22:26:03,sao paulo,SP,RO,2017-08-29 07:25:47
1,credit_card,Vende e entrega outro,"O produto que comprei, foi o da foto... o que foi entregue foi completamente diferente, da marca da empresa que forneceu... comprei cartão Henry, não cartão Evolution...",4,42.17,agro_industry_and_commerce,550.0,16.0,11.0,19.0,sao paulo,delivered,18.27,88ef59b51bdaa941d10a853429f2b6ce,1,2018-08-18 20:16:45,2018-08-20 13:03:00,2018-08-23 23:16:49,2018-08-31 00:00:00,2018-08-24 00:00:00,2018-08-25 12:05:56,guaratuba,PR,SP,2018-08-21 20:30:11
5,credit_card,,"Fiz o pedido na segunda e o prazo era de 10 dias e no dia chegou, super rápido e o produto é o que eu queria!! Td perfeito, recomendo a tds! ",4,382.62,perfumery,540.0,23.0,19.0,13.0,sao paulo,delivered,14.97,fe2032dab1a61af8794248c8196565c9,1,2017-09-18 15:07:49,2017-09-18 21:26:42,2017-09-19 18:25:18,2017-09-28 00:00:00,2017-09-20 00:00:00,2017-09-21 01:35:59,campinas,SP,SP,2017-09-22 15:31:05
5,boleto,Top!!,Tudo certo!!,1,64.4,housewares,650.0,30.0,20.0,10.0,campinas,delivered,19.5,1b4c3a6f53068f0b6944d2d005c9fc89,1,2018-06-18 20:02:49,2018-06-21 11:46:00,2018-07-05 18:50:55,2018-07-17 00:00:00,2018-07-06 00:00:00,2018-07-09 09:06:35,sao ludgero,SC,SP,2018-06-22 04:38:34
3,credit_card,,O produto é muito bom. Eu recomendaria si.,5,286.9,cool_stuff,900.0,45.0,16.0,15.0,agua boa,delivered,24.55,48436dade18ac8b2bce089ec2a041202,1,2017-05-05 20:59:41,2017-05-09 12:12:09,2017-05-18 09:46:39,2017-06-07 00:00:00,2017-05-19 00:00:00,2017-05-22 08:17:03,volta redonda,SP,MT,2017-05-10 21:10:13
5,boleto,,Maravilhoso,1,271.28,furniture_decor,600.0,17.0,17.0,17.0,salvador,delivered,17.92,3df020b72d3d44b3af9d110fa3940b65,1,2018-01-18 12:24:35,2018-01-22 21:27:03,2018-02-06 15:48:44,2018-02-20 00:00:00,2018-02-07 00:00:00,2018-02-07 18:36:10,jales,SP,BA,2018-01-25 09:09:32
5,voucher,,Entregou corretamente,1,30.0,furniture_decor,4300.0,25.0,45.0,90.0,guarulhos,delivered,38.33,3481aa57cd91f9f9d3fa1fa12d9a3bf7,2,2017-08-22 11:02:26,2017-08-29 15:22:13,2017-08-31 16:58:04,2017-09-12 00:00:00,2017-09-01 00:00:00,2017-09-04 01:47:19,capivari,SP,SP,2017-08-28 11:15:13
5,credit_card,EXCELENTE,Produto atendeu as expectativas. recomendo,1,93.09,sports_leisure,3400.0,33.0,28.0,25.0,brasilia,delivered,18.1,54a1852d1b8f10312c55e906355666ee,1,2018-05-21 08:13:46,2018-05-21 16:11:00,2018-06-05 15:42:55,2018-06-07 00:00:00,2018-06-06 00:00:00,2018-06-07 12:01:27,santa barbara d'oeste,SP,DF,2018-05-23 08:30:34
1,boleto,,"O produto chegou mais ou menos em dois meses. Gostei do produto, mas estava precisando logo e demorou demais.
Não recomendo porque demora muito pra chegar. A loja precisa ter mais responsabilidade.",1,132.1,computers_accessories,250.0,41.0,29.0,2.0,agua branca,delivered,34.15,85d9eb9ddc5d00ca9336a2219c97bb13,1,2018-02-26 15:32:14,2018-03-20 18:56:29,2018-04-04 00:08:35,2018-04-05 00:00:00,2018-04-05 00:00:00,2018-04-06 17:16:17,belo horizonte,MG,AL,2018-03-14 09:29:40
3,credit_card,,"Nos dias atuais não possui admitir que demore tanto uma entrega tão simples.
Vamos nos agilizar gente.",1,133.4,perfumery,550.0,19.0,18.0,13.0,sao jose dos pinhais,delivered,15.7,ef0ace09169ac090589d85746e3e036f,1,2018-03-29 20:55:56,2018-04-04 19:04:12,2018-04-12 20:51:01,2018-04-20 00:00:00,2018-04-13 00:00:00,2018-04-16 04:18:45,sao goncalo,RJ,PR,2018-04-04 21:07:54
4,credit_card,,muito boa experiencia,1,153.09,auto,1475.0,68.0,35.0,9.0,brasilia,delivered,18.19,7142540dd4c91e2237acb7e911c4eba2,1,2018-01-19 16:34:44,2018-01-23 13:18:56,2018-01-30 22:46:40,2018-02-15 00:00:00,2018-01-31 00:00:00,2018-02-06 18:30:32,penapolis,SP,DF,2018-01-25 16:59:51
1,credit_card,,Minha avaliação é zero. Estamos desde o Natal aguardando q o nosso alto investimento feito com muito esforço traga a devida alegria a uma criança altamente merecedora.,10,458.46,toys,958.0,65.0,50.0,15.0,belo horizonte,processing,59.46,a247197e2e9c19a6a53a6888cb8b660f,1,2017-12-23 18:25:24,,,2018-02-01 00:00:00,2018-02-02 00:00:00,2018-02-02 07:26:46,sao jose do rio preto,SP,MG,2018-01-10 18:34:19
5,credit_card,,Entrega rápida...,1,87.64,home_appliances,1200.0,35.0,30.0,20.0,rio de janeiro,delivered,17.74,4559697a8f7e637227c2eeaed843baff,1,2018-02-22 12:48:04,2018-02-24 18:06:41,2018-03-02 19:07:17,2018-03-15 00:00:00,2018-03-03 00:00:00,2018-03-05 12:46:23,presidente prudente,SP,RJ,2018-02-28 13:08:02
4,credit_card,Ótimo,Gostei. Acho apenas que o prazo poderia ser menor!,5,199.0,watches_gifts,342.0,18.0,15.0,13.0,goiania,delivered,0.0,4869f7a5dfa277a7dca6462dcf3b52b2,1,2018-05-04 16:17:14,2018-05-09 13:28:00,2018-05-22 22:48:18,2018-06-05 00:00:00,2018-05-23 00:00:00,2018-06-01 18:24:55,guariba,SP,GO,2018-05-10 16:13:44
1,credit_card,,"O vendendor entrou em contato comigo dizendo que seria entregue em 3 dias. produto foi parar no correios com prazo de 15 dias. Sem comunicar, sem nada, pessimo profissionalismo da empresa. não cumpre.",4,209.46,perfumery,850.0,25.0,20.0,7.0,guarulhos,delivered,9.56,4c498c7345e89aebad651544829beca0,1,2018-08-02 12:54:36,2018-08-03 07:55:00,2018-08-15 00:12:20,2018-08-07 00:00:00,2018-08-09 00:00:00,2018-08-09 21:07:14,carapicuiba,SP,SP,2018-08-06 13:30:18
3,credit_card,,"O tecido é ótimo o cumprimento na altura também a, porem na largura não veio exatamente quatro metros veio bem menos, então deveria ter comprado duas aí sim fica como na foto. Chega bem antes do prazo",8,162.04,bed_bath_table,1700.0,34.0,32.0,7.0,sao paulo,delivered,12.14,da8622b14eb17ae2831f4ac5b9dab84a,1,2018-04-07 18:16:35,2018-04-10 22:04:36,2018-04-11 13:48:52,2018-04-24 00:00:00,2018-04-12 00:00:00,2018-04-16 14:36:05,piracicaba,SP,SP,2018-04-12 18:15:21
1,credit_card,,"O produto é muito ruim, comprei para minha filha fazer lição e apenas 1 vez de usa com o apoio dos braços em cima do caderno 1 encaixe da mesinha já quebrou fiquei insatisfeita com a péssima qualidade",1,93.1,computers_accessories,2500.0,50.0,40.0,10.0,sao paulo,delivered,13.11,955fee9216a65b617aa5c0531780ce60,1,2018-03-02 00:29:29,2018-03-02 22:14:52,2018-03-07 17:46:09,2018-03-14 00:00:00,2018-03-08 00:00:00,2018-03-11 02:51:30,sao paulo,SP,SP,2018-03-08 01:20:32
4,credit_card,,muito boa a logistica da empresa produto dentro das caracteristicas ,9,184.75,perfumery,367.0,23.0,16.0,12.0,currais novos,delivered,34.85,fe2032dab1a61af8794248c8196565c9,1,2017-06-25 12:07:37,2017-06-26 16:29:26,2017-07-18 17:46:35,2017-07-28 00:00:00,2017-07-19 00:00:00,2017-07-19 23:41:00,campinas,SP,RN,2017-06-29 12:23:42
3,boleto,,Entrega parcial. Faltando chegar a Base do Bebe conforto.,1,411.21,baby,10750.0,38.0,44.0,47.0,muriae,delivered,23.21,5dceca129747e92ff8ef7a997dc4f8ca,1,2017-12-21 20:28:57,2017-12-26 14:59:12,2017-12-28 19:59:44,2018-01-22 00:00:00,2017-12-29 00:00:00,2018-01-02 13:14:51,santa barbara d´oeste,SP,MG,2017-12-29 02:17:26
3,credit_card,Produto Ok,Relógio bem bonito...,5,96.65,watches_gifts,250.0,16.0,20.0,2.0,ouro fino,delivered,18.65,6560211a19b47992c3666cc44a7e94c0,1,2018-07-18 23:10:28,2018-07-19 11:22:00,2018-07-24 21:46:39,2018-08-06 00:00:00,2018-07-25 00:00:00,2018-07-26 02:13:58,sao paulo,SP,MG,2018-07-22 23:22:23
5,boleto,,"Recomendo 









",1,126.39,bed_bath_table,2100.0,15.0,25.0,18.0,paraiso,delivered,16.4,d1c281d3ae149232351cd8c8cc885f0d,1,2017-08-10 08:45:05,2017-08-11 18:58:47,2017-08-17 17:13:08,2017-08-30 00:00:00,2017-08-18 00:00:00,2017-08-19 11:27:49,ibitinga,SP,SP,2017-08-17 04:25:05
5,credit_card,,Muito satisfeito,2,75.07,fashion_bags_accessories,100.0,16.0,14.0,14.0,coronel fabriciano,delivered,15.17,20d83f3ef0e6925fd74bfd59170babf7,1,2017-11-26 12:03:05,2017-11-27 17:56:11,2017-12-04 21:34:31,2017-12-18 00:00:00,2017-12-05 00:00:00,2017-12-06 00:38:31,sao paulo,SP,MG,2017-11-30 12:16:21
